_class_name,_created_at,_object_id,_updated_at,airportLocation,airportName,iata,icao
Airport,2013-04-02T15:09:48.503Z,MGS2Fxzmjr,2013-04-02T15:09:48.503Z,"Doomadgee, Queensland",Doomadgee Airport,DMD,YDMG
Airport,2013-04-02T15:09:48.518Z,29vUcPzWmE,2013-04-02T15:09:48.518Z,"Singleton, New South Wales",Dochra Airfield,,YDOC
Airport,2013-04-02T15:09:48.532Z,c4Ufuq1F4C,2013-04-02T15:09:48.532Z,None,Dorunda Airport,DRD,YDOR
Airport,2013-04-02T15:09:48.547Z,vWLHoKNBFl,2013-04-02T15:09:48.547Z,None,Davenport Downs Airport,DVP,YDPD
Airport,2013-04-02T15:09:48.562Z,1UF3nJgsRw,2013-04-02T15:09:48.562Z,"Devonport, Tasmania",Devonport Airport,DPO,YDPO
Airport,2013-04-02T15:09:48.578Z,pZRLcPu3u9,2013-04-02T15:09:48.578Z,None,Dongara Airport,DOX,YDRA
Airport,2013-04-02T15:09:48.593Z,nBAeD8ads9,2013-04-02T15:09:48.593Z,None,Durham Downs Airport,DHD,YDRH
Airport,2013-04-02T15:09:48.607Z,kfINrrGuvg,2013-04-02T15:09:48.607Z,None,Durrie Airport,DRR,YDRI
Airport,2013-04-02T15:09:48.735Z,e3jwnr2i3F,2013-04-02T15:09:48.735Z,None,Docker River Airport,DKV,YDVR
Airport,2013-04-02T15:09:48.759Z,EaOMISkQ2O,2013-04-02T15:09:48.759Z,"Dysart, Queensland",Dysart Airport,DYA,YDYS
Airport,2013-04-02T15:09:48.774Z,Fxv3nEDBd4,2013-04-02T15:09:48.774Z,"Echuca, Victoria",Echuca Airport,ECH,YECH
Airport,2013-04-02T15:09:48.794Z,qCL6zthhiQ,2013-04-02T15:09:48.794Z,None,Eucla Airport,EUC,YECL
Airport,2013-04-02T15:09:48.809Z,LdQlYNKPvG,2013-04-02T15:09:48.809Z,None,Etadunna Airport,ETD,YEDA
Airport,2013-04-02T15:09:48.824Z,olpbrpOhuW,2013-04-02T15:09:48.824Z,None,Eneabba Airport,ENB,YEEB
Airport,2013-04-02T15:09:48.838Z,AzcjsrRA8Z,2013-04-02T15:09:48.838Z,"Elcho Island, Northern Territory",Elcho Island Airport,ELC,YELD
Airport,2013-04-02T15:09:48.854Z,3qnK8teVjH,2013-04-02T15:09:48.854Z,None,Eromanga Airport,ERG,YEMG
Airport,2013-04-02T15:09:48.869Z,myyANjghjE,2013-04-02T15:09:48.869Z,"Emerald, Queensland",Emerald Airport,EMD,YEML
Airport,2013-04-02T15:09:48.883Z,dhkwCgioiT,2013-04-02T15:09:48.883Z,"Enoggera, Queensland",Enoggera HLS,,YENO
Airport,2013-04-02T15:09:48.899Z,iSVXEfxiwr,2013-04-02T15:09:48.899Z,None,Pukatja Airport,ERB,YERN
Airport,2013-04-02T15:09:48.914Z,wrk4jx3l6j,2013-04-02T15:09:48.914Z,"Esperance, Western Australia",Esperance Airport,EPR,YESP
Airport,2013-04-02T15:09:48.928Z,dKgJyOU6PL,2013-04-02T15:09:48.928Z,"Evans Head, New South Wales",Evans Head Memorial Aerodrome,EVH,YEVD
Airport,2013-04-02T15:09:48.943Z,xnsyfL1W23,2013-04-02T15:09:48.943Z,None,Exmouth Airport,EXM,YEXM
Airport,2013-04-02T15:09:48.958Z,4AU4WumB9W,2013-04-02T15:09:48.958Z,"Forbes, New South Wales",Forbes Airport,FRB,YFBS
Airport,2013-04-02T15:09:48.973Z,D4hSSrUQu1,2013-04-02T15:09:48.973Z,None,Dave Forest Airport,KFE,YFDF
Airport,2013-04-02T15:09:48.988Z,vIQlS5OKeA,2013-04-02T15:09:48.988Z,None,Finley Airport,FLY,YFIL
Airport,2013-04-02T15:09:49.004Z,73pthxjUYQ,2013-04-02T15:09:49.004Z,"Flinders Island (Whitemark), Tasmania",Flinders Island Airport,FLS,YFLI
Airport,2013-04-02T15:09:49.019Z,M5S2IIkNpZ,2013-04-02T15:09:49.019Z,None,Finke Airport,FIK,YFNE
Airport,2013-04-02T15:09:49.034Z,SubqFRVNB2,2013-04-02T15:09:49.034Z,"Forrest, Western Australia",Forrest Airport,FOS,YFRT
Airport,2013-04-02T15:09:49.049Z,NLVjibwhtK,2013-04-02T15:09:49.049Z,"Fiskville, Victoria near Ballan",Fiskville CFA Training Ground Airstrip,,YFSK
Airport,2013-04-02T15:09:49.063Z,3w8IHTY3p1,2013-04-02T15:09:49.063Z,"Fitzroy Crossing, Western Australia",Fitzroy Crossing Airport,FIZ,YFTZ
Airport,2013-04-02T15:09:49.078Z,mrOxpOyHKe,2013-04-02T15:09:49.078Z,"Garden Island, Western Australia",HMAS Stirling,,YGAD
Airport,2013-04-02T15:09:49.093Z,gouAq2CPiY,2013-04-02T15:09:49.093Z,None,Gamboola Airport,GBP,YGAM
Airport,2013-04-02T15:09:49.110Z,NJpUct4bev,2013-04-02T15:09:49.110Z,"Gayndah, Queensland",Gayndah Airport,GAH,YGAY
Airport,2013-04-02T15:09:49.125Z,RRS4fJSUAX,2013-04-02T15:09:49.125Z,None,Goulburn Island Airport,GBL,YGBI
Airport,2013-04-02T15:09:49.140Z,ofoTxIIXSB,2013-04-02T15:09:49.140Z,"Gunnedah, New South Wales",Gunnedah Airport,GUH,YGDH
Airport,2013-04-02T15:09:49.154Z,Ji8720BKTn,2013-04-02T15:09:49.154Z,"Goondiwindi, Queensland",Goondiwindi Airport,GOO,YGDI
Airport,2013-04-02T15:09:49.169Z,CaxRVUJnfY,2013-04-02T15:09:49.169Z,None,Gordon Downs Airport,GDD,YGDN
Airport,2013-04-02T15:09:49.184Z,Xw4GCcxJeS,2013-04-02T15:09:49.184Z,None,Gregory Downs Airport,GGD,YGDS
Airport,2013-04-02T15:09:49.199Z,X0SeloJVuB,2013-04-02T15:09:49.199Z,None,Granite Downs Airport,GTS,YGDW
Airport,2013-04-02T15:09:49.238Z,1tCARR3U7x,2013-04-02T15:09:49.238Z,"Geraldton, Western Australia",Geraldton Airport,GET,YGEL
Airport,2013-04-02T15:09:49.254Z,hOBeH6TWfG,2013-04-02T15:09:49.254Z,"Grafton, New South Wales",Clarence Valley Regional Airport,GFN,YGFN
Airport,2013-04-02T15:09:49.268Z,mSPRMlOd6e,2013-04-02T15:09:49.268Z,None,Gibb River Airport,GBV,YGIB
Airport,2013-04-02T15:09:49.283Z,qRuL1ulyJi,2013-04-02T15:09:49.283Z,"Gingin, Western Australia",RAAF Base Gingin,,YGIN
Airport,2013-04-02T15:09:49.298Z,iM0bnM8gAq,2013-04-02T15:09:49.298Z,None,Great Keppel Island Airport,GKL,YGKL
